201811261,Tie
20181128,60,Tie
20181128,61,Lose
20181128,62,Tie
20181128,63,Win
20181128,64,Win
20181128,65,Lose
20181128,66,Lose
20181128,67,Lose
20181128,68,Win
20181128,69,Lose
20181128,70,Win
20181128,71,Lose
20181128,72,Win
20181128,73,Lose
20181128,74,Tie
20181128,75,Win
20181128,76,Lose
20181128,77,Lose
20181128,78,Tie
20181128,79,Lose
20181128,80,Tie
20181128,81,Win
20181128,82,Lose
20181128,83,Lose
20181128,84,Win
20181128,85,Lose
20181128,86,Tie
20181128,87,Lose
20181128,88,Lose
20181128,89,Lose
20181128,90,Tie
20181128,91,Win
20181128,92,Lose
20181128,93,Lose
20181128,94,Lose
20181128,95,Lose
20181128,96,Lose
20181128,97,Tie
20181128,98,Win
20181128,99,Tie
20181128,100,Win
20181128,101,Lose
20181128,102,Tie
20181128,103,Win
20181128,104,Tie
20181128,105,Win
20181128,106,Tie
20181128,107,Lose
20181128,108,Win
20181128,109,Lose
20181128,110,Win
20181128,111,Win
20181128,112,Lose
20181128,113,Win
20181128,114,Tie
20181128,115,Lose
20181128,116,Win
20181128,117,Win
20181128,118,Win
20181128,119,Lose
20181128,120,Lose
20181128,121,Win
20181128,122,Lose
20181128,123,Win
20181128,124,Win
20181128,125,Win
20181128,126,Win
20181128,127,Tie
20181128,128,Lose
20181128,129,Win
20181128,130,Win
20181128,131,Tie
20181128,132,Lose
20181128,133,Lose
20181128,134,Win
20181128,135,Lose
20181128,136,Win
20181128,137,Lose
20181128,138,Win
20181128,139,Win
20181128,140,Tie
20181128,141,Tie
20181128,142,Lose
20181128,143,Lose
20181128,144,Lose
20181128,145,Tie
20181128,146,Win
20181128,147,Win
20181128,148,Lose
20181129,1,Tie
20181129,2,Tie
20181129,3,Lose
20181129,4,Lose
20181129,5,Lose
20181129,6,Win
20181129,7,Win
20181129,8,Lose
20181129,9,Win
20181129,10,Win
20181129,11,Lose
20181129,12,Win
20181129,13,Tie
20181129,14,Win
20181129,15,Lose
20181129,16,Win
20181129,17,Win
20181129,18,Lose
20181129,19,Win
20181201,1,Tie
20181201,2,Tie
20181201,3,Win
20181201,4,Lose
20181201,5,Lose
20181201,6,Win
20181201,7,Lose
20181201,8,Lose
20181201,9,Lose
20181201,10,Win
20181201,11,Win
20181201,12,Tie
20181201,13,Tie
20181201,14,Win
20181201,15,Lose
20181201,16,Lose
20181201,17,Tie
20181201,18,Lose
20181201,19,Win
20181201,20,Win
20181201,21,Lose
20181201,22,Lose
20181201,23,Win
20181201,24,Win
20181202,1,Tie
20181202,2,Tie
20181202,3,Lose
20181202,4,Win
20181202,5,Lose
20181202,6,Lose
20181202,7,Win
20181202,8,Lose
20181202,9,Win
20181202,10,Lose
20181202,11,Win
20181202,12,Win
20181202,13,Lose
20181202,14,Lose
20181202,15,Lose
20181202,16,Tie
20181202,17,Tie
20181202,18,Lose
20181202,18,Lose
20181202,20,Win
20181202,21,Tie
20181202,22,Lose
20181202,23,Win
20181202,24,Win
20181202,25,Lose
20181202,26,Lose
20181202,27,Lose
20181202,28,Win
20181202,29,Lose
20181202,1,Tie
20181202,2,Lose
20181202,3,Lose
20181202,4,Win
20181202,5,Win
20181202,6,Lose
20181202,7,Win
20181202,8,Lose
20181202,9,Lose
20181202,10,Win
20181202,11,Win
20181202,12,Lose
20181202,13,Lose
20181202,14,Lose
20181202,15,Win
20181202,16,Lose
20181202,17,Lose
20181202,18,Win
20181202,19,Lose
20181202,20,Lose
20181202,21,Win
20181202,22,Win
20181203,1,Tie
20181203,2,Win
20181203,3,Win
20181203,4,Win
20181203,5,Win
20181203,6,Lose
20181203,7,Win
20181203,8,Win
20181203,9,Lose
20181203,10,Lose
20181203,11,Win
20181203,12,Tie
20181203,13,Win
20181203,14,Tie
20181203,15,Win
20181204,1,Tie  2982.22
20181204,2,Win 3029.72
20181204,3,Win 3077.22
20181204,4,Win 3124.72
20181204,5,Lose 3074.72
20181204,6,Tie  3074.72
20181204,7,Lose 2974.72
20181204,8,Lose 2774.72
20181204,9,Lose 2374.72
20181204,9,Lose 2374.72
20181204,11,Win 3182.22
20181204,12,Lose 3132.22
20181204,13,Lose 3032.22
20181204,14,Tie  3032.22
20181204,15,Tie  3032.22
20181204,16,Lose 2632.22
20181204,17,Lose 2232.22
20181204,17,Lose 2232.22
20181204,19,Lose 1382.22
20181204,20,Tie  1382.22
20181204,21,Win 1477.22
20181204,22,Win 1527.22
20181204,23,Win 1577.22
20181204,24,Lose 1527.22
20181204,25,Win 1627.22
20181204,26,Lose 1577.22
20181204,27,Tie  1577.22
20181204,28,Lose 1477.22
20181204,29,Win 1667.22
20181204,1,Tie  1714.72
20181204,2,Win 1762.22
20181204,3,Lose 1712.22
20181204,4,Tie  1712.22
20181204,5,Win 1812.22
20181204,6,Lose 1762.22
20181204,7,Lose 1662.22
20181204,8,Lose 1462.22
20181204,9,Tie  1462.22
20181204,10,Lose 1062.22
20181204,10,Lose 1062.22
20181204,1,Tie  4939.2
20181204,2,Lose 4839.2
20181204,3,Lose 4639.2
20181204,4,Lose 4239.2
20181204,5,Win 5039.2
20181204,6,Win 5139.2
20181204,7,Lose 5039.2
20181204,8,Lose 4839.2
20181204,9,Lose 4439.2
20181204,10,Win 5239.2
20181204,11,Win 5339.2
20181204,12,Tie  5339.2
20181204,13,Win 5439.2
20181204,14,Lose 5339.2
20181204,15,Win 5539.2
20181204,16,Lose 5439.2
20181204,17,Win 5629.2
20181204,18,Win 5724.2
20181204,19,Win 5824.2
20181204,20,Lose 5724.2
20181204,21,Lose 5524.2
20181204,22,Lose 5124.2
20181205,1,Tie  2024.2
20181205,2,Win 2071.7
20181205,3,Win 2119.2
20181205,4,Win 2169.2
20181205,5,Lose 2119.2
20181205,6,Lose 2019.2
20181205,7,Tie  2019.2
20181205,8,Lose 1819.2
20181205,9,Win 2219.2
20181205,10,Tie  2219.2
20181205,11,Tie  2219.2
20181205,12,Lose 2169.2
20181205,13,Lose 2069.2
20181205,14,Tie  2069.2
20181205,15,Lose 1869.2
20181205,16,Lose 1469.2
20181205,16,Lose 1469.2
20181205,18,Lose 619.2
20181205,19,Lose 519.2
20181205,20,Win 709.2
20181205,21,Lose 659.2
20181205,22,Win 754.2
20181205,23,Lose 704.2
20181205,24,Win 804.2
20181205,25,Lose 754.2
20181205,26,Lose 654.2
20181205,27,Lose 454.2
